Month,Sales of shampoo over a three year period
1/1/2018,266
1/2/2018,145.9
1/3/2018,183.1
1/4/2018,119.3
1/5/2018,180.3
1/6/2018,168.5
1/7/2018,231.8
1/8/2018,224.5
1/9/2018,192.8
1/10/2018,122.9
1/11/2018,336.5
1/12/2018,185.9
2/1/2018,194.3
2/2/2018,149.5
2/3/2018,210.1
2/4/2018,273.3
2/5/2018,191.4
2/6/2018,287
2/7/2018,226
2/8/2018,303.6
2/9/2018,289.9
2/10/2018,421.6
2/11/2018,264.5
2/12/2018,342.3
3/1/2018,339.7
3/2/2018,440.4
3/3/2018,315.9
3/4/2018,439.3
3/5/2018,401.3
3/6/2018,437.4
3/7/2018,575.5
3/8/2018,407.6
3/9/2018,682
3/10/2018,475.3
3/11/2018,581.3
3/12/2018,646.9
,
Sales of shampoo over a three year period,
